time,time_value
1,86400.0
2,172800.0
3,259200.0
4,345600.0
5,432000.0
6,518400.0
7,604800.0
8,691200.0
9,777600.0
10,864000.0
11,950400.0
12,1036800.0
13,1123200.0
14,1209600.0
15,1296000.0
16,1382400.0
17,1468800.0
18,1555200.0
19,1641600.0
20,1728000.0
21,1814400.0
22,1900800.0
23,1987200.0
24,2073600.0
25,2160000.0
26,2246400.0
27,2332800.0
28,2419200.0
29,2505600.0
30,2592000.0
31,2678400.0
32,2764800.0
33,2851200.0
34,2937600.0
35,3024000.0
36,3110400.0
37,3196800.0
38,3283200.0
39,3369600.0
40,3456000.0
41,3542400.0
42,3628800.0
43,3715200.0
44,3801600.0
45,3888000.0
46,3974400.0
47,4060800.0
48,4147200.0
49,4233600.0
50,4320000.0
51,4406400.0
52,4492800.0
53,4579200.0
54,4665600.0
55,4752000.0
56,4838400.0
57,4924800.0
58,5011200.0
59,5097600.0
60,5184000.0
61,5270400.0
62,5356800.0
63,5443200.0
64,5529600.0
65,5616000.0
66,5702400.0
67,5788800.0
68,5875200.0
69,5961600.0
70,6048000.0
71,6134400.0
72,6220800.0
73,6307200.0
74,6393600.0
75,6480000.0
76,6566400.0
77,6652800.0
78,6739200.0
79,6825600.0
80,6912000.0
81,6998400.0
82,7084800.0
83,7171200.0
84,7257600.0
85,7344000.0
86,7430400.0
87,7516800.0
88,7603200.0
89,7689600.0
90,7776000.0
91,7862400.0
92,7948800.0
93,8035200.0
94,8121600.0
95,8208000.0
96,8294400.0
97,8380800.0
98,8467200.0
99,8553600.0
100,8640000.0
101,8726400.0
102,8812800.0
103,8899200.0
104,8985600.0
105,9072000.0
106,9158400.0
107,9244800.0
108,9331200.0
109,9417600.0
110,9504000.0
111,9590400.0
112,9676800.0
113,9763200.0
114,9849600.0
115,9936000.0
116,10022400.0
117,10108800.0
118,10195200.0
119,10281600.0
120,10368000.0
121,10454400.0
122,10540800.0
123,10627200.0
124,10713600.0
125,10800000.0
126,10886400.0
127,10972800.0
128,11059200.0
129,11145600.0
130,11232000.0
131,11318400.0
132,11404800.0
133,11491200.0
134,11577600.0
135,11664000.0
136,11750400.0
137,11836800.0
138,11923200.0
139,12009600.0
140,12096000.0
141,12182400.0
142,12268800.0
143,12355200.0
144,12441600.0
145,12528000.0
146,12614400.0
147,12700800.0
148,12787200.0
149,12873600.0
150,12960000.0
151,13046400.0
152,13132800.0
153,13219200.0
154,13305600.0
155,13392000.0
156,13478400.0
157,13564800.0
158,13651200.0
159,13737600.0
160,13824000.0
161,13910400.0
162,13996800.0
163,14083200.0
164,14169600.0
165,14256000.0
166,14342400.0
167,14428800.0
168,14515200.0
169,14601600.0
170,14688000.0
171,14774400.0
172,14860800.0
173,14947200.0
174,15033600.0
175,15120000.0
176,15206400.0
177,15292800.0
178,15379200.0
179,15465600.0
180,15552000.0
181,15638400.0
182,15724800.0
183,15811200.0
184,15897600.0
185,15984000.0
186,16070400.0
187,16156800.0
188,16243200.0
189,16329600.0
190,16416000.0
191,16502400.0
192,16588800.0
193,16675200.0
194,16761600.0
195,16848000.0
196,16934400.0
197,17020800.0
198,17107200.0
199,17193600.0
200,17280000.0
201,17366400.0
202,17452800.0
203,17539200.0
204,17625600.0
205,17712000.0
206,17798400.0
207,17884800.0
208,17971200.0
209,18057600.0
210,18144000.0
211,18230400.0
212,18316800.0
213,18403200.0
214,18489600.0
215,18576000.0
216,18662400.0
217,18748800.0
218,18835200.0
219,18921600.0
220,19008000.0
221,19094400.0
222,19180800.0
223,19267200.0
224,19353600.0
225,19440000.0
226,19526400.0
227,19612800.0
228,19699200.0
229,19785600.0
230,19872000.0
231,19958400.0
232,20044800.0
233,20131200.0
234,20217600.0
235,20304000.0
236,20390400.0
237,20476800.0
238,20563200.0
239,20649600.0
240,20736000.0
241,20822400.0
242,20908800.0
243,20995200.0
